,year,host,country,cup_position,world_ranking,confederation,rank_date,min_match_date
0,1994,USA,Italy,2,4,UEFA,1994-06-14,1994-07-02
1,1994,USA,Brazil,1,3,CONMEBOL,1994-06-14,1994-07-02
2,1994,USA,Sweden,3,10,UEFA,1994-06-14,1994-07-02
3,1994,USA,Bulgaria,4,29,UEFA,1994-06-14,1994-07-02
4,1998,France,Netherlands,4,25,UEFA,1998-05-20,1998-07-03
5,1998,France,France,1,18,UEFA,1998-05-20,1998-07-03
6,1998,France,Croatia,3,19,UEFA,1998-05-20,1998-07-03
7,1998,France,Brazil,2,1,CONMEBOL,1998-05-20,1998-07-03
8,2002,Korea/Japan,Germany,2,11,UEFA,2002-05-15,2002-06-01
9,2002,Korea/Japan,Brazil,1,2,CONMEBOL,2002-05-15,2002-06-01
10,2002,Korea/Japan,Turkey,3,22,UEFA,2002-05-15,2002-06-01
11,2002,Korea/Japan,Korea Republic,4,40,AFC,2002-05-15,2002-06-01
12,2006,Germany,Germany,3,19,UEFA,2006-05-17,2006-07-01
13,2006,Germany,Italy,1,13,UEFA,2006-05-17,2006-07-01
14,2006,Germany,France,2,8,UEFA,2006-05-17,2006-07-01
15,2006,Germany,Portugal,4,7,UEFA,2006-05-17,2006-07-01
16,2010,South Africa,Uruguay,4,16,CONMEBOL,2010-05-26,2010-07-02
17,2010,South Africa,Germany,3,6,UEFA,2010-05-26,2010-07-02
18,2010,South Africa,Netherlands,2,4,UEFA,2010-05-26,2010-07-02
19,2010,South Africa,Spain,1,2,UEFA,2010-05-26,2010-07-02
20,2014,Brazil,Netherlands,3,15,UEFA,2014-06-05,2014-07-01
21,2014,Brazil,Argentina,2,5,CONMEBOL,2014-06-05,2014-07-01
22,2014,Brazil,Brazil,4,3,CONMEBOL,2014-06-05,2014-07-01
23,2014,Brazil,Germany,1,2,UEFA,2014-06-05,2014-07-01
