Country,Lat,Long
Cameroon,7.3697,12.34547
Czech Republic,49.8175,15.473
Sweden,60.1282,18.6435
Zaire,-4.0383,21.7587
Korea DPR,35.9078,127.7669
Portugal,39.3999,-7.2245
Colombia,39.2037,-76.861
Wales,52.1307,-3.7837
Ukraine,48.3794,31.1656
Saudi Arabia,23.8859,45.0792
Cuba,21.5218,-77.7812
Northern Ireland,54.7877,-6.4923
Algeria,28.0339,1.6596
France,46.2276,2.2137
Slovakia,48.669,19.699
Israel,31.0461,34.8516
Ghana,7.9465,-1.0232
Senegal,14.4974,14.4524
Kuwait,29.3117,47.4818
Turkey,38.9637,35.2433
Korea Republic,35.9078,127.7669
Nigeria,9.082,8.6753
Republic of Ireland,53.4129,-8.2439
Scotland,56.4907,-4.2026
Netherlands,52.1326,5.2913
Paraguay,-23.4425,-58.4438
Australia,-25.2744,133.7751
Serbia,44.0165,21.0059
Angola,-11.2027,17.8739
IR Iran,32.4279,53.688
Spain,40.4637,-3.7492
Belgium,50.5039,4.4699
United Arab Emirates,23.4241,53.8478
Togo,8.6195,0.8248
Soviet Union,61.524,105.3188
Trinidad and Tobago,10.6918,-61.2225
El Salvador,13.7942,-88.8965
Italy,41.8719,12.5674
Uruguay,-32.5228,-55.7658
Czechoslovakia,49.8175,15.473
USA,37.0902,-95.7129
Bosnia and Herzegovina,43.9159,17.6791
Germany,51.1657,10.4515
Canada,56.1304,-106.3468
Cote d’Ivoire,7.54,-5.5471
Argentina,-38.4161,-63.6167
England,52.3555,-1.1743
Slovenia,46.1512,14.9955
Greece,39.0742,21.8243
Egypt,26.8206,30.8025
Iran,32.4279,53.688
Chile,-35.6751,-71.543
South Africa,-30.5595,22.9375
Peru,-9.19,-75.0152
German DR,48.7775,11.4311
Yugoslavia,44.819,20.4573
Japan,36.2048,138.2529
Denmark,56.2639,9.5018
Jamaica,18.1096,-77.2975
Iraq,33.2232,43.6793
China PR,36.8617,104.1954
Switzerland,46.8182,8.2275
Ecuador,-1.8312,-78.1834
New Zealand,-40.9006,174.886
Hungary,47.1625,19.5033
Serbia and Montenegro,44.0165,21.0059
Russia,61.524,105.3188
Germany FR,51.1657,10.4515
Honduras,15.2,-86.2419
Norway,60.472,8.4689
Romania,45.9432,24.9668
Brazil,-14.235,-51.9253
Austria,47.5162,14.5501
Bolivia,-16.2902,-63.5887
Bulgaria,42.7339,25.4858
Croatia,45.1,15.2
Tunisia,33.8869,9.5375
Morocco,31.7917,-7.0926
Mexico,23.6345,-102.5528
Poland,51.9194,19.1451
Costa Rica,9.7489,-83.734
Haiti,18.9712,-72.2852
Dutch East Indies,-2,118
