,year,host,country,cup_position,cup_country_lat,cup_country_long,host_country_lat,host_country_long
0,2014,Brazil,Germany,1,51.1657,10.4515,-14.235,-51.9253
1,2014,Brazil,Argentina,2,-38.4161,-63.6167,-14.235,-51.9253
2,2014,Brazil,Netherlands,3,52.1326,5.2913,-14.235,-51.9253
3,2014,Brazil,Brazil,4,-14.235,-51.9253,-14.235,-51.9253
4,2010,South Africa,Spain,1,40.4637,-3.7492,-30.5595,22.9375
5,2010,South Africa,Netherlands,2,52.1326,5.2913,-30.5595,22.9375
6,2010,South Africa,Germany,3,51.1657,10.4515,-30.5595,22.9375
7,2010,South Africa,Uruguay,4,-32.5228,-55.7658,-30.5595,22.9375
8,2006,Germany,Italy,1,41.8719,12.5674,51.1657,10.4515
9,2006,Germany,France,2,46.2276,2.2137,51.1657,10.4515
10,2006,Germany,Germany,3,51.1657,10.4515,51.1657,10.4515
11,2006,Germany,Portugal,4,39.3999,-7.2245,51.1657,10.4515
12,1998,France,France,1,46.2276,2.2137,46.2276,2.2137
13,1998,France,Brazil,2,-14.235,-51.9253,46.2276,2.2137
14,1998,France,Croatia,3,45.1,15.2,46.2276,2.2137
15,1998,France,Netherlands,4,52.1326,5.2913,46.2276,2.2137
16,1994,USA,Brazil,1,-14.235,-51.9253,37.0902,-95.7129
17,1994,USA,Italy,2,41.8719,12.5674,37.0902,-95.7129
18,1994,USA,Sweden,3,60.1282,18.6435,37.0902,-95.7129
19,1994,USA,Bulgaria,4,42.7339,25.4858,37.0902,-95.7129
20,1990,Italy,Germany FR,1,51.1657,10.4515,41.8719,12.5674
21,1990,Italy,Argentina,2,-38.4161,-63.6167,41.8719,12.5674
22,1990,Italy,Italy,3,41.8719,12.5674,41.8719,12.5674
23,1990,Italy,England,4,52.3555,-1.1743,41.8719,12.5674
24,1986,Mexico,Argentina,1,-38.4161,-63.6167,23.6345,-102.5528
25,1986,Mexico,Germany FR,2,51.1657,10.4515,23.6345,-102.5528
26,1986,Mexico,France,3,46.2276,2.2137,23.6345,-102.5528
27,1986,Mexico,Belgium,4,50.5039,4.4699,23.6345,-102.5528
28,1982,Spain,Italy,1,41.8719,12.5674,40.4637,-3.7492
29,1982,Spain,Germany FR,2,51.1657,10.4515,40.4637,-3.7492
30,1982,Spain,Poland,3,51.9194,19.1451,40.4637,-3.7492
31,1982,Spain,France,4,46.2276,2.2137,40.4637,-3.7492
