,country,avg_goals_per_world_cup,avg_conceded_goals_per_world_cup,total_goal_scored,total_goals_conceded,world_cup_appearances,num_of_world_cup_winners,num_of_world_cup_runners_up,num_of_world_cup_third,num_of_world_cup_fourth
0,Argentina,7,4,120,79,16,2,3,0,0
1,Austria,6,6,42,43,7,0,0,1,1
2,Belgium,3,5,47,65,12,0,0,0,1
3,Brazil,10,4,201,94,20,5,2,2,2
4,Bulgaria,3,7,21,50,7,0,0,0,1
5,Chile,4,5,38,46,9,0,0,1,0
6,Croatia,4,3,19,13,4,0,0,1,0
7,Czechoslovakia,5,5,41,41,8,0,2,0,0
8,England,4,3,65,50,14,1,0,0,1
9,France,6,4,93,64,14,1,1,2,1
10,Germany,10,5,92,45,9,2,1,3,0
11,Germany FR,12,7,112,69,9,2,3,1,1
12,Hungary,8,5,78,49,9,0,2,0,0
13,Italy,5,3,106,64,18,4,2,1,1
14,Korea Republic,3,7,31,67,9,0,0,0,1
15,Netherlands,7,4,73,43,10,0,3,1,1
16,Poland,5,5,40,39,7,0,0,2,0
17,Portugal,6,4,39,28,6,0,0,1,1
18,Soviet Union,7,3,50,27,7,0,0,0,1
19,Spain,6,4,85,63,14,1,0,0,1
20,Sweden,6,5,66,60,11,0,1,2,1
21,Turkey,9,8,19,17,2,0,0,1,0
22,USA,3,6,34,61,10,0,0,1,0
23,Uruguay,6,5,78,67,12,2,0,0,3
24,Yugoslavia,6,4,58,44,9,0,0,0,2
