"country","avg_goals_per_world_cup","avg_conceded_goals_per_world_cup","total_goal_scored","total_goals_conceded","world_cup_appearances","num_of_world_cup_winners","num_of_world_cup_runners_up","num_of_world_cup_third","num_of_world_cup_fourth"
"Algeria",3,4,12,16,4,NULL,NULL,NULL,NULL
"Angola",1,2,1,2,1,NULL,NULL,NULL,NULL
"Argentina",7,4,120,79,16,2,3,0,0
"Australia",2,6,11,26,4,NULL,NULL,NULL,NULL
"Austria",6,6,42,43,7,0,0,1,1
"Belgium",3,5,47,65,12,0,0,0,1
"Bolivia",0,5,1,16,3,NULL,NULL,NULL,NULL
"Brazil",10,4,201,94,20,5,2,2,2
"Bulgaria",3,7,21,50,7,0,0,0,1
"Cameroon",2,5,14,39,7,NULL,NULL,NULL,NULL
"Canada",0,3,0,3,1,NULL,NULL,NULL,NULL
"Chile",4,5,38,46,9,0,0,1,0
"China PR",0,9,0,9,1,NULL,NULL,NULL,NULL
"Colombia",5,5,26,27,5,NULL,NULL,NULL,NULL
"Costa Rica",4,5,17,23,4,NULL,NULL,NULL,NULL
"Croatia",4,3,19,13,4,0,0,1,0
"Cuba",5,12,5,12,1,NULL,NULL,NULL,NULL
"Czech Republic",3,2,3,2,1,NULL,NULL,NULL,NULL
"Czechoslovakia",5,5,41,41,8,0,2,0,0
"C�te d'Ivoire",3,3,11,10,3,NULL,NULL,NULL,NULL
"Denmark",6,6,27,24,4,NULL,NULL,NULL,NULL
"Dutch East Indies",0,6,0,6,1,NULL,NULL,NULL,NULL
"Ecuador",3,3,10,11,3,NULL,NULL,NULL,NULL
"Egypt",1,3,3,6,2,NULL,NULL,NULL,NULL
"El Salvador",0,11,1,22,2,NULL,NULL,NULL,NULL
"England",4,3,65,50,14,1,0,0,1
"France",6,4,93,64,14,1,1,2,1
"German DR",4,4,4,4,1,NULL,NULL,NULL,NULL
"Germany",10,5,80,41,8,1,1,3,0
"Germany FR",12,7,124,73,10,3,3,1,1
"Ghana",3,4,11,13,3,NULL,NULL,NULL,NULL
"Greece",1,4,5,14,3,NULL,NULL,NULL,NULL
"Haiti",2,14,2,14,1,NULL,NULL,NULL,NULL
"Honduras",0,3,2,10,3,NULL,NULL,NULL,NULL
"Hungary",8,5,78,49,9,0,2,0,0
"IR Iran",0,3,2,10,3,NULL,NULL,NULL,NULL
"Iran",1,4,5,12,3,NULL,NULL,NULL,NULL
"Iraq",1,3,1,3,1,NULL,NULL,NULL,NULL
"Israel",1,3,1,3,1,NULL,NULL,NULL,NULL
"Italy",5,3,106,64,18,4,2,1,1
"Jamaica",3,9,3,9,1,NULL,NULL,NULL,NULL
"Japan",2,4,14,21,5,NULL,NULL,NULL,NULL
"Korea DPR",3,10,6,21,2,NULL,NULL,NULL,NULL
"Korea Republic",3,7,31,67,9,0,0,0,1
"Kuwait",2,6,2,6,1,NULL,NULL,NULL,NULL
"Mexico",3,5,52,84,15,NULL,NULL,NULL,NULL
"Morocco",2,4,11,16,4,NULL,NULL,NULL,NULL
"Netherlands",7,4,73,43,10,0,3,1,1
"New Zealand",1,6,3,13,2,NULL,NULL,NULL,NULL
"Nigeria",3,4,19,24,5,NULL,NULL,NULL,NULL
"Northern Ireland",4,7,13,23,3,NULL,NULL,NULL,NULL
"Norway",2,2,7,8,3,NULL,NULL,NULL,NULL
"Paraguay",3,4,30,37,8,NULL,NULL,NULL,NULL
"Peru",4,7,19,31,4,NULL,NULL,NULL,NULL
"Poland",5,5,40,39,7,0,0,2,0
"Portugal",6,4,39,28,6,0,0,1,1
"Romania",4,4,30,32,7,NULL,NULL,NULL,NULL
"Russia",4,4,12,12,3,NULL,NULL,NULL,NULL
"Saudi Arabia",2,8,9,32,4,NULL,NULL,NULL,NULL
"Scotland",3,5,25,40,8,NULL,NULL,NULL,NULL
"Senegal",7,6,7,6,1,NULL,NULL,NULL,NULL
"Serbia",2,3,2,3,1,NULL,NULL,NULL,NULL
"Slovakia",5,7,5,7,1,NULL,NULL,NULL,NULL
"Slovenia",2,3,4,7,2,NULL,NULL,NULL,NULL
"South Africa",3,5,11,16,3,NULL,NULL,NULL,NULL
"Soviet Union",7,3,50,27,7,0,0,0,1
"Spain",6,4,85,63,14,1,0,0,1
"Sweden",6,5,66,60,11,0,1,2,1
"Switzerland",4,5,43,59,10,NULL,NULL,NULL,NULL
"Togo",1,4,1,4,1,NULL,NULL,NULL,NULL
"Tunisia",2,3,8,15,4,NULL,NULL,NULL,NULL
"Turkey",9,8,19,17,2,0,0,1,0
"USA",3,6,34,61,10,0,0,1,0
"Ukraine",5,7,5,7,1,NULL,NULL,NULL,NULL
"Uruguay",6,5,78,67,12,2,0,0,3
"Wales",3,3,3,3,1,NULL,NULL,NULL,NULL
"Yugoslavia",6,4,58,44,9,0,0,0,2
"Zaire",0,14,0,14,1,NULL,NULL,NULL,NULL
"rn>Bosnia and Herzegovina",4,4,4,4,1,NULL,NULL,NULL,NULL
"rn>Republic of Ireland",2,2,7,7,3,NULL,NULL,NULL,NULL
"rn>Serbia and Montenegro",2,10,2,10,1,NULL,NULL,NULL,NULL
"rn>Trinidad and Tobago",0,2,0,2,1,NULL,NULL,NULL,NULL
"rn>United Arab Emirates",2,11,2,11,1,NULL,NULL,NULL,NULL
