"country","avg_goals_per_world_cup","avg_conceded_goals_per_world_cup","total_goal_scored","total_goals_conceded","world_cup_appearances","num_of_world_cup_winners","num_of_world_cup_runners_up","num_of_world_cup_third","num_of_world_cup_fourth"
"Argentina",7,4,120,79,16,2,3,0,0
"Austria",6,6,42,43,7,0,0,1,1
"Belgium",3,5,47,65,12,0,0,0,1
"Brazil",10,4,201,94,20,5,2,2,2
"Bulgaria",3,7,21,50,7,0,0,0,1
"Chile",4,5,38,46,9,0,0,1,0
"Croatia",4,3,19,13,4,0,0,1,0
"Czechoslovakia",5,5,41,41,8,0,2,0,0
"England",4,3,65,50,14,1,0,0,1
"France",6,4,93,64,14,1,1,2,1
"Germany",10,5,80,41,8,1,1,3,0
"Germany FR",12,7,124,73,10,3,3,1,1
"Hungary",8,5,78,49,9,0,2,0,0
"Italy",5,3,106,64,18,4,2,1,1
"Korea Republic",3,7,31,67,9,0,0,0,1
"Netherlands",7,4,73,43,10,0,3,1,1
"Poland",5,5,40,39,7,0,0,2,0
"Portugal",6,4,39,28,6,0,0,1,1
"Soviet Union",7,3,50,27,7,0,0,0,1
"Spain",6,4,85,63,14,1,0,0,1
"Sweden",6,5,66,60,11,0,1,2,1
"Turkey",9,8,19,17,2,0,0,1,0
"USA",3,6,34,61,10,0,0,1,0
"Uruguay",6,5,78,67,12,2,0,0,3
"Yugoslavia",6,4,58,44,9,0,0,0,2
